response_time,status_code,success
467.59867668151855,200,1
457.66401290893555,200,1
469.21420097351074,200,1
462.7847671508789,200,1
858.0060005187988,200,1
476.67717933654785,200,1
459.6221446990967,200,1
457.65233039855957,200,1
456.9857120513916,200,1
455.5330276489258,200,1
457.2741985321045,200,1
450.5331516265869,200,1
459.1498374938965,200,1
468.97196769714355,200,1
459.43188667297363,200,1
454.79393005371094,200,1
468.3189392089844,200,1
696.2530612945557,200,1
479.08520698547363,200,1
498.28505516052246,200,1
483.92486572265625,200,1
490.77391624450684,200,1
467.1611785888672,200,1
456.5718173980713,200,1
454.51903343200684,200,1
456.4549922943115,200,1
495.41687965393066,200,1
459.26809310913086,200,1
454.88786697387695,200,1
454.56814765930176,200,1
461.23504638671875,200,1
456.4940929412842,200,1
475.966215133667,200,1
469.67196464538574,200,1
481.8129539489746,200,1
473.5260009765625,200,1
469.5301055908203,200,1
467.2372341156006,200,1
470.4859256744385,200,1
464.9391174316406,200,1
455.19018173217773,200,1
456.1142921447754,200,1
467.0262336730957,200,1
481.68182373046875,200,1
464.47086334228516,200,1
457.57126808166504,200,1
454.1797637939453,200,1
461.8399143218994,200,1
450.3641128540039,200,1
477.18191146850586,200,1
468.6729907989502,200,1
458.5237503051758,200,1
478.4970283508301,200,1
462.4319076538086,200,1
453.4108638763428,200,1
454.9980163574219,200,1
454.1456699371338,200,1
470.44897079467773,200,1
543.7519550323486,200,1
533.3597660064697,200,1
